timestamp_unix,elapsed_time_sec,cpu_percent_total,memory_mb,ros_version,experiment_id
1789502134.663,1.005,0.1,625.2,ROS2,20260915_195528
1789502135.668,2.01,0.0,625.2,ROS2,20260915_195528
1789502136.673,3.015,0.1,625.19,ROS2,20260915_195528
1789502137.679,4.021,0.0,625.19,ROS2,20260915_195528
1789502138.682,5.024,3.2,632.46,ROS2,20260915_195528
1789502139.689,6.031,0.1,632.46,ROS2,20260915_195528
1789502140.692,7.034,0.1,632.46,ROS2,20260915_195528
1789502141.697,8.039,0.1,632.46,ROS2,20260915_195528
1789502142.701,9.043,0.0,632.46,ROS2,20260915_195528
1789502143.706,10.048,0.2,632.46,ROS2,20260915_195528
1789502144.71,11.052,0.0,632.46,ROS2,20260915_195528
1789502145.717,12.059,0.1,632.46,ROS2,20260915_195528
1789502146.723,13.065,0.0,632.46,ROS2,20260915_195528
1789502147.725,14.067,0.0,632.46,ROS2,20260915_195528
1789502148.728,15.07,2.2,633.81,ROS2,20260915_195528
1789502149.732,16.074,0.0,633.8,ROS2,20260915_195528
1789502150.734,17.076,0.2,633.8,ROS2,20260915_195528
1789502151.74,18.082,0.1,633.8,ROS2,20260915_195528
1789502152.747,19.09,0.0,633.8,ROS2,20260915_195528
1789502153.754,20.096,0.0,633.8,ROS2,20260915_195528
1789502154.761,21.103,0.0,633.55,ROS2,20260915_195528
1789502155.768,22.11,0.1,633.55,ROS2,20260915_195528
1789502156.772,23.114,0.0,633.55,ROS2,20260915_195528
1789502157.779,24.121,0.1,633.55,ROS2,20260915_195528
1789502158.786,25.128,2.3,635.06,ROS2,20260915_195528
1789502159.789,26.131,0.2,635.06,ROS2,20260915_195528
1789502160.796,27.138,0.0,631.05,ROS2,20260915_195528
1789502161.801,28.143,0.1,631.05,ROS2,20260915_195528
1789502162.803,29.145,0.0,631.05,ROS2,20260915_195528
1789502163.805,30.147,0.3,632.76,ROS2,20260915_195528
1789502164.812,31.154,0.1,632.76,ROS2,20260915_195528
1789502165.819,32.161,0.0,632.76,ROS2,20260915_195528
1789502166.823,33.165,0.1,632.76,ROS2,20260915_195528
1789502167.828,34.17,0.0,632.76,ROS2,20260915_195528
1789502168.833,35.175,2.3,625.71,ROS2,20260915_195528
1789502169.837,36.179,0.1,625.7,ROS2,20260915_195528
1789502170.848,37.19,0.2,625.7,ROS2,20260915_195528
1789502171.851,38.193,0.2,625.7,ROS2,20260915_195528
1789502172.853,39.195,0.0,625.7,ROS2,20260915_195528
1789502173.856,40.198,0.1,625.7,ROS2,20260915_195528
1789502174.859,41.201,0.2,625.7,ROS2,20260915_195528
1789502175.861,42.203,0.3,625.7,ROS2,20260915_195528
1789502176.865,43.207,0.2,625.7,ROS2,20260915_195528
1789502177.869,44.211,0.1,625.7,ROS2,20260915_195528
1789502178.872,45.214,2.1,626.32,ROS2,20260915_195528
1789502179.874,46.216,0.1,626.32,ROS2,20260915_195528
1789502180.881,47.223,0.2,626.57,ROS2,20260915_195528
1789502181.888,48.23,0.0,626.57,ROS2,20260915_195528
1789502182.891,49.233,0.1,626.57,ROS2,20260915_195528
1789502183.897,50.239,0.1,626.57,ROS2,20260915_195528
1789502184.902,51.244,0.0,626.57,ROS2,20260915_195528
1789502185.909,52.251,0.2,626.3,ROS2,20260915_195528
1789502186.916,53.258,0.1,626.3,ROS2,20260915_195528
1789502187.921,54.263,0.0,626.3,ROS2,20260915_195528
1789502188.928,55.27,2.2,630.04,ROS2,20260915_195528
1789502189.935,56.277,0.1,630.04,ROS2,20260915_195528
1789502190.937,57.279,0.2,630.04,ROS2,20260915_195528
1789502191.944,58.286,0.0,630.04,ROS2,20260915_195528
1789502192.948,59.29,0.0,630.04,ROS2,20260915_195528
1789502193.951,60.293,0.1,630.04,ROS2,20260915_195528
1789502194.957,61.299,0.2,631.08,ROS2,20260915_195528
1789502195.96,62.302,0.0,631.08,ROS2,20260915_195528
