timestamp_unix,elapsed_time_sec,cpu_percent_total,memory_mb,ros_version,experiment_id
1789502064.106,1.007,0.0,491.29,ROS2,20260915_195417
1789502065.113,2.014,-0.0,491.28,ROS2,20260915_195417
1789502066.116,3.017,0.1,491.28,ROS2,20260915_195417
1789502067.123,4.024,0.0,491.28,ROS2,20260915_195417
1789502068.126,5.028,2.1,497.83,ROS2,20260915_195417
1789502069.128,6.029,0.2,497.83,ROS2,20260915_195417
1789502070.13,7.032,0.0,497.83,ROS2,20260915_195417
1789502071.136,8.037,0.3,502.43,ROS2,20260915_195417
1789502072.143,9.044,0.2,499.51,ROS2,20260915_195417
1789502073.146,10.047,6.1,505.25,ROS2,20260915_195417
1789502074.153,11.054,0.0,505.25,ROS2,20260915_195417
1789502075.157,12.058,0.0,505.25,ROS2,20260915_195417
1789502076.163,13.064,0.0,505.25,ROS2,20260915_195417
1789502077.166,14.067,0.0,505.25,ROS2,20260915_195417
1789502078.168,15.069,4.2,545.76,ROS2,20260915_195417
1789502079.169,16.07,3.8,529.23,ROS2,20260915_195417
1789502080.171,17.072,9.4,542.71,ROS2,20260915_195417
1789502081.177,18.079,9.8,629.7,ROS2,20260915_195417
1789502082.179,19.081,7.4,608.86,ROS2,20260915_195417
